"user_id","age","gender","occupation","device_type","daily_phone_hours","social_media_hours","work_productivity_score","sleep_hours","stress_level","app_usage_count","caffeine_intake_cups","weekend_screen_time_hours"
U47829,42,Other,Business Owner,Android,5.8,5.1,10,7.1,7,33,1,12.4
U32413,24,Other,Professional,Android,3.2,3.7,9,6.3,5,12,0,2.7
U38941,40,Male,Student,iOS,1.9,6.9,6,8.9,7,31,6,4.6
U13017,40,Male,Student,iOS,8.1,6.0,1,5.2,5,6,4,11.0
U36666,57,Female,Business Owner,iOS,8.5,6.5,7,7.2,3,41,4,8.7
U17094,38,Male,Freelancer,Android,8.3,4.7,3,5.0,1,56,0,13.9
U13009,24,Female,Business Owner,iOS,11.7,1.1,1,8.9,8,55,4,2.4
U20400,21,Female,Business Owner,Android,4.9,6.5,2,7.5,2,35,0,5.1
U32419,41,Female,Student,Android,4.4,7.8,9,4.8,9,8,4,5.1
U34994,43,Male,Professional,Android,10.3,7.8,4,6.6,10,36,6,2.8
U22333,42,Male,Freelancer,Android,1.3,7.7,2,8.7,4,30,3,9.8
U1011,53,Male,Student,iOS,5.8,3.7,5,7.5,7,28,5,13.7
U11945,21,Female,Professional,iOS,5.1,6.2,2,6.0,9,45,2,4.9
U31090,36,Female,Business Owner,iOS,4.3,5.5,9,5.7,2,13,3,4.0
U34707,30,Female,Business Owner,Android,7.9,4.1,3,7.4,10,28,0,5.2
U5557,33,Female,Freelancer,iOS,10.6,5.4,7,8.2,5,50,4,12.0
U20835,55,Female,Student,iOS,9.4,1.8,8,7.3,8,16,3,13.2
U20505,18,Female,Business Owner,iOS,9.5,4.2,6,8.6,8,17,0,7.3
U40222,55,Female,Professional,Android,6.2,3.2,2,6.5,10,38,2,8.9
U21911,21,Male,Business Owner,iOS,5.3,6.6,8,8.5,9,8,4,11.6
U34328,25,Male,Freelancer,iOS,9.0,4.5,7,4.5,3,47,3,8.7
U3709,58,Other,Student,iOS,5.7,2.1,10,8.8,10,17,0,8.9
U14432,31,Female,Professional,Android,4.2,2.6,6,7.3,5,13,5,3.6
U37555,30,Male,Freelancer,iOS,3.7,7.5,6,8.5,9,45,2,11.8
U4037,19,Female,Business Owner,iOS,10.8,5.7,7,5.7,1,56,1,13.1
U9899,56,Other,Student,iOS,4.1,5.3,4,5.5,2,55,1,8.4
U22567,49,Female,Professional,Android,2.2,2.9,4,6.5,8,37,2,3.1
U42179,27,Male,Freelancer,Android,10.1,1.4,5,6.1,5,46,5,8.1
U12963,28,Other,Professional,iOS,4.0,5.8,3,8.1,10,26,0,13.9
U34215,26,Male,Professional,Android,3.4,0.6,8,8.1,3,23,6,5.2
U34527,52,Male,Business Owner,Android,7.5,5.1,6,7.1,2,24,3,11.2
U39857,46,Female,Student,iOS,3.2,5.6,10,8.1,3,12,1,12.4
U24722,58,Male,Business Owner,Android,11.3,7.4,1,5.3,3,30,4,10.7
U47231,39,Female,Student,Android,11.4,7.6,2,4.9,2,53,0,6.4
U42754,43,Male,Freelancer,Android,11.4,5.8,8,8.6,9,25,0,3.9
